year,artist,song,position,category
1951,Nilla Pizzi,Grazie dei fiori,1,Unica
1951,Nilla Pizzi & Achille Togliani,La luna si veste d'argento,2,Unica
1951,Achille Togliani,Serenata a nessuno,3,Unica
1951,Achille Togliani,Al mercato di Pizzighettone,F,Unica
1951,Nilla Pizzi & Achille Togliani,Eco fra gli abeti,F,Unica
1951,Achille Togliani,Famme durmì,F,Unica
1951,Duo Fasano,La cicogna distratta,F,Unica
1951,Nilla Pizzi,La margherita,F,Unica
1951,Achille Togliani,Sedici anni,F,Unica
1951,Duo Fasano,Sotto il mandorlo,F,Unica
1951,Nilla Pizzi,È l'alba,NF,Unica
1951,Nilla Pizzi,Ho pianto una volta sola,NF,Unica
1951,Achille Togliani,Lasciami,NF,Unica
1951,Achille Togliani,Mai più,NF,Unica
1951,Achille Togliani,Mani che si cercano,NF,Unica
1951,Nilla Pizzi,Mia cara Napoli,NF,Unica
1951,Nilla Pizzi,Notte di Sanremo,NF,Unica
1951,Nilla Pizzi,Oro di Napoli,NF,Unica
1951,Duo Fasano,Sorrentinella,NF,Unica
1951,Nilla Pizzi,Tutto è finito,NF,Unica
1952,Nilla Pizzi,Vola colomba,1,Unica
1952,Nilla Pizzi,Papaveri e papere,2,Unica
1952,Nilla Pizzi,Una donna prega,3,Unica
1952,Nilla Pizzi,I due ottanelli,F,Unica
1952,Gino Latilla,Il valzer di Nonna Speranza,F,Unica
1952,Oscar Carboni,L'attesa,F,Unica
1952,Achille Togliani,La collanina,F,Unica
1952,Gino Latilla,Malinconica tarantella,F,Unica
1952,Nilla Pizzi,Nel regno dei sogni,F,Unica
1952,Oscar Carboni,Perché le donne belle,F,Unica
1952,Gino Latilla,Un disco dall'Italia,F,Unica
1952,Duo Fasano,Al ritmo della carrozzella,NF,Unica
1952,Duo Fasano,Buonanotte ai bimbi del mondo,NF,Unica
1952,Oscar Carboni,Cantate e sorridete,NF,Unica
1952,Duo Fasano,Due gattini,NF,Unica
1952,Nilla Pizzi,Il valzer di Nonna Speranza,NF,Unica
1952,Achille Togliani,Libro di lettura,NF,Unica
1952,Gino Latilla,Pura fantasia,NF,Unica
1952,Duo Fasano,Vecchio tram,NF,Unica
1952,Oscar Carboni,Madonna delle rose,NF,Unica
1953,Carla Boni & Flo Sandon's,Viale d'autunno,1,Unica
1953,Nilla Pizzi & Teddy Reno,Campanaro,2,Unica
1953,Achille Togliani & Teddy Reno,Lasciami cantare una canzone,3,Unica
1953,Gino Latilla & Giorgio Consolini,Vecchio scarpone,F,Unica
1953,Gino Latilla & Teddy Reno,Vecchia villa comunale,F,Unica
1953,Achille Togliani & Katyna Ranieri,No Pierrot,F,Unica
1953,Carla Boni & Quartetto Stars,Il passerotto,F,Unica
1953,Nilla Pizzi & Teddy Reno,Papà Pacifico,F,Unica
1953,Gino Latilla & Giorgio Consolini,Tamburino del reggimento,F,Unica
1953,Gino Latilla & Giorgio Consolini,Povero amico mio,F,Unica
1953,Carla Boni & Flo Sandon's,Acque amare,NF,Unica
1953,Nilla Pizzi & Teddy Reno,C'est la vie,NF,Unica
1953,Achille Togliani & Katyna Ranieri,Domandatelo,NF,Unica
1953,Nilla Pizzi & Flo Sandon's,L'altra,NF,Unica
1953,Achille Togliani & Katyna Ranieri,La mamma che piange di più,NF,Unica
1953,Gino Latilla & Doppio Quintetto Vocale,Innamorami,NF,Unica
1953,Achille Togliani & Carla Boni,La pianola stonata,NF,Unica
1953,Gino Latilla & Quartetto Stars,Ma quante,NF,Unica
1953,Nilla Pizzi & Teddy Reno,Sussurrando buonanotte,NF,Unica
1953,Carla Boni & Quartetto Stars,Qualcuno cammina,NF,Unica
1954,Giorgio Consolini & Gino Latilla,Tutte le mamme,1,Unica
1954,Katyna Ranieri & Achille Togliani,Canzone da due soldi,2,Unica
1954,Gino Latilla & Franco Ricci,...e la barca tornò sola,3,Unica
1954,Natalino Otto & Flo Sandon's,Notturno (Per chi non ha nessuno),4,Unica
1954,Claudio Villa & Giorgio Consolini,Non è mai troppo tardi,5,Unica
1954,Gino Latilla & Katyna Ranieri,Aveva un bavero,6,Unica
1954,Carla Boni & Duo Fasano,Cirillino Ci,7,Unica
1954,Achille Togliani & Natalino Otto,Donnina sola,8,Unica
1954,Gino Latilla & Claudio Villa,Una bambina sei tu,9,Unica
1954,Vittoria Mongardi & Duo Fasano,Arriva il direttore,10,Unica
1954,Achille Togliani & Gianni Ravera,Angeli senza cielo,NF,Unica
1954,Carla Boni & Quartetto Cetra,Berta filava,NF,Unica
1954,Gino Latilla & Quartetto Cetra,Canzoni alla sbarra,NF,Unica
1954,Katyna Ranieri & Vittoria Mongardi,Ciofacco,NF,Unica
1954,Claudio Villa & Franco Ricci,Con te!,NF,Unica
1954,Gino Latilla & Duo Fasano,E la barca tornò sola,NF,Unica
1954,Achille Togliani & Flo Sandon's,Gioia di vivere,NF,Unica
1954,Gino Latilla & Quartetto Cetra,Piripicchio e Piripicchia,NF,Unica
1954,Giorgio Consolini & Katyna Ranieri,Rose (Oggi i tempi son cambiati),NF,Unica
1954,Giorgio Consolini & Carla Boni,Sotto l'ombrello,NF,Unica
1955,Claudio Villa & Tullio Pane,Buongiorno tristezza,1,Unica
1955,Claudio Villa & Tullio Pane,Il torrente,2,Unica
1955,Natalino Otto & Trio Aurora,Canto nella valle,3,Unica
1955,Claudio Villa & Narciso Parigi,Incantatella,4,Unica
1955,Claudio Villa & Gianni Ravera,Un cuore,5,Unica
1955,Antonio Basurto & Gianni Ravera,Cantilena del trainante,F,Unica
1955,Jula De Palma & Marisa Colomber,Che fai tu luna in ciel,F,Unica
1955,Natalino Otto & Bruno Pallesi,Ci ciu cì (Cantava un usignol),F,Unica
1955,Narciso Parigi & Radio Boys,Era un omino,F,Unica
1955,Jula De Palma & Marisa Colomber,L'ombra,F,Unica
1955,Bruno Rosettani & Trio Aurora,Il primo viaggio,NF,Unica
1955,Bruno Rosettani & Radio Boys,I tre timidi,NF,Unica
1955,Natalino Otto & Nuccia Bongiovanni,Non penserò che a te,NF,Unica
1955,Bruno Pallesi & Nuccia Bongiovanni,Sentiero,NF,Unica
1955,Antonio Basurto & Gianni Ravera,Una fotografia nella cornice,NF,Unica
1955,Narciso Parigi & Radio Boys,Zucchero e pepe,NF,Unica
1956,Franca Raimondi,Aprite le finestre,1,Unica
1956,Tonina Torrielli,Amami se vuoi,2,Unica
1956,Luciana Gonzales,La vita è un paradiso di bugie,3,Unica
1956,Tonina Torrielli,Il cantico del cielo,4,Unica
1956,Ugo Molinari,La colpa fu,5,Unica
1956,Franca Raimondi,Il trenino del destino,6,Unica
1956,Ugo Molinari,Albero caduto,7,Unica
1956,Gianni Marzocchi,Musetto,8,Unica
1956,Ugo Molinari,Nota per nota,9,Unica
1956,Clara Vincenzi,Due teste sul cuscino,10,Unica
1956,Luciana Gonzales,Anima gemella,NF,Unica
1956,Luciana Gonzales,È bello,NF,Unica
1956,Gianni Marzocchi,Ho detto al sole,NF,Unica
1956,Clara Vincenzi,Il bosco innamorato,NF,Unica
1956,Gianni Marzocchi,Lui e lei,NF,Unica
1956,Franca Raimondi,Lucia e Tobia,NF,Unica
1956,Clara Vincenzi,Parole e musica,NF,Unica
1956,Tonina Torrielli,Qualcosa è rimasto,NF,Unica
1956,Franca Raimondi,Sogni d'or,NF,Unica
1956,Clara Vincenzi,Lui e lei,NF,Unica
1957,Claudio Villa & Nunzio Gallo,Corde della mia chitarra,1,Unica
1957,Claudio Villa & Giorgio Consolini,Usignolo,2,Unica
1957,Gino Latilla & Tonina Torrielli,Scusami,3,Unica
1957,Carla Boni & Tonina Torrielli,Casetta in Canadà,4,Unica
1957,Gino Latilla & Natalino Otto,Cancello tra le rose,5,Unica
1957,Claudio Villa & Giorgio Consolini,Il pericolo numero uno,6,Unica
1957,Tina Allori & Flo Sandon's,Intorno a te (È sempre primavera),7,Unica
1957,Gino Latilla & Claudio Villa,Il filo di speranza,8,Unica
1957,Carla Boni & Duo Fasano,Le trote blu,9,Unica
1957,Natalino Otto & Poker di Voci,Per una volta ancora,10,Unica
1957,Gino Baldi & Jula De Palma,A poco a poco,NF,Unica
1957,Carla Boni & Poker di Voci,Ancora ci credo,NF,Unica
1957,Gianni Ravera & Natalino Otto,Un certo sorriso,NF,Unica
1957,Tina Allori & Tonina Torrielli,Estasi,NF,Unica
1957,Fiorella Bini & Gloria Christian,Era l'epoca del cuore,NF,Unica
1957,Carla Boni & Gloria Christian,Il nostro sì,NF,Unica
1957,Gino Baldi & Jula De Palma,Nel giardino del mio cuore,NF,Unica
1957,Gino Baldi & Nunzio Gallo,Non ti ricordi più?,NF,Unica
1957,Fiorella Bini & Duo Fasano,Raggio nella nebbia,NF,Unica
1957,Jula De Palma & Marisa Del Frate,Un sogno di cristallo,NF,Unica
1957,Flo Sandon's & Gloria Christian,Venezia mia,NF,Unica
1958,Domenico Modugno & Johnny Dorelli,Nel blu dipinto di blu (Volare),1,Unica
1958,Nilla Pizzi & Tonina Torrielli,L'edera,2,Unica
1958,Gino Latilla & Nilla Pizzi,Amare un'altra,3,Unica
1958,Claudio Villa & Giorgio Consolini,Campana di Santa Lucia,F,Unica
1958,Claudio Villa & Nilla Pizzi,Giuro d'amarti così,F,Unica
1958,Aurelio Fierro & Gloria Christian,Timida serenata,F,Unica
1958,Duo Fasano & Aurelio Fierro,Fragole e cappellini,F,Unica
1958,Carla Boni & Nick Pagano,Non potrai dimenticare,F,Unica
1958,Johnny Dorelli & Natalino Otto,Fantastica,F,Unica
1958,Tonina Torrielli & Cristina Jorio,Mille volte,F,Unica
1958,Carla Boni & Gino Latilla,Arsura,NF,Unica
1958,Claudio Villa & Giorgio Consolini,Cos'è un bacio,NF,Unica
1958,Nilla Pizzi & Aurelio Fierro,La canzone che piace a te,NF,Unica
1958,Duo Fasano & Trio Joyce,I trulli di Alberobello,NF,Unica
1958,Carla Boni & Giorgio Consolini,Io sono te,NF,Unica
1958,Tonina Torrielli & Duo Fasano,Nozze d'oro,NF,Unica
1958,Gino Latilla & Gloria Christian,Ho disegnato un cuore,NF,Unica
1958,Claudio Villa & Oscar Carboni,Fragole e cappellini,NF,Unica
1958,Marisa Del Frate & Giorgio Consolini,È molto facile dirsi addio,NF,Unica
1958,Johnny Dorelli & Gloria Christian,Se tornassi tu,NF,Unica
1959,Domenico Modugno & Johnny Dorelli,Piove (Ciao ciao bambina),1,Unica
1959,Arturo Testa & Gino Latilla,Io sono il vento,2,Unica
1959,Teddy Reno & Achille Togliani,Conoscerti,3,Unica
1959,Fausto Cigliano & Nilla Pizzi,Sempre con te,F,Unica
1959,Teddy Reno & Aurelio Fierro,Lì per lì,F,Unica
1959,Betty Curtis & Wilma De Angelis,Nessuno,F,Unica
1959,Natalino Otto & Aurelio Fierro,Avevamo la stessa età,F,Unica
1959,Claudio Villa & Betty Curtis,Un bacio sulla bocca,F,Unica
1959,Jula De Palma & Tonina Torrielli,Tua,F,Unica
1959,Johnny Dorelli & Gino Latilla,Partir con te,F,Unica
1959,Nilla Pizzi & Tonina Torrielli,Adorami,NF,Unica
1959,Fausto Cigliano & Miranda Martino,Così così,NF,Unica
1959,Claudio Villa & Nilla Pizzi,Il nostro refrain,NF,Unica
1959,Wilma De Angelis & Arturo Testa,La luna è un'altra,NF,Unica
1959,Wanda Osiris & Teddy Reno,Lì per lì,NF,Unica
1959,Miranda Martino & Fausto Cigliano,Ma baciami,NF,Unica
1959,Anna D'Amico & Natalino Otto,Né stelle né mare,NF,Unica
1959,Gino Latilla & Claudio Villa,Saluti e baci,NF,Unica
1959,Arturo Testa & Wilma De Angelis,Un poco,NF,Unica
1959,Achille Togliani & Jula De Palma,La vita mi ha dato solo te,NF,Unica
1960,Renato Rascel & Tony Dallara,Romantica,1,Unica
1960,Domenico Modugno & Teddy Reno,Libero,2,Unica
1960,Wilma De Angelis & Joe Sentieri,Quando vien la sera,3,Unica
1960,Nilla Pizzi & Tonina Torrielli,Colpevole,4,Unica
1960,Gino Latilla & Miranda Martino,Il mare,5,Unica
1960,Paolo Bacilieri & Sergio Bruni,È mezzanotte,6,Unica
1960,Fausto Cigliano & Irene D'Areni,È vero,7,Unica
1960,Johnny Dorelli & Joe Sentieri,Hurrà,8,Unica
1960,Germana Caroli & Arturo Testa,Gridare di gioia,9,Unica
1960,Jula De Palma & Tony Del Monaco,Notte mia,10,Unica
1960,Giorgio Consolini & Sergio Bruni,Il mare,NF,Unica
1960,Betty Curtis & Mina,Non sei felice,NF,Unica
1960,Johnny Dorelli & Betty Curtis,Amore senza sole,NF,Unica
1960,Gloria Christian & Poker di Voci,A come amore,NF,Unica
1960,Achille Togliani & Giorgio Consolini,Amore abisso dolce,NF,Unica
1960,Mina & Teddy Reno,È vero,NF,Unica
1960,Claudio Villa & Nilla Pizzi,Invoco te,NF,Unica
1960,Tonina Torrielli & Arturo Testa,Perdoniamoci,NF,Unica
1960,Fausto Cigliano & Irene D'Areni,Splende il sole,NF,Unica
1960,Miranda Martino & Enrico Polito,Vento pioggia... scarpe rotte,NF,Unica
1961,Betty Curtis & Luciano Tajoli,Al di là,1,Unica
1961,Adriano Celentano & Little Tony,24 mila baci,2,Unica
1961,Milva & Gino Latilla,Il mare nel cassetto,3,Unica
1961,Mina & Jenny Luna,Io amo tu ami,4,Unica
1961,Pino Donaggio & Teddy Reno,Come sinfonia,5,Unica
1961,Mina & Nelly Fioramonti,Le mille bolle blu,6,Unica
1961,Gino Paoli & Tony Dallara,Un uomo vivo,7,Unica
1961,Sergio Bruni & Rocco Granata,Carolina dai!,8,Unica
1961,Joe Sentieri & Sergio Bruni,Lei,9,Unica
1961,Tonina Torrielli & Arturo Testa,Febbre di musica,10,Unica
1961,Claudio Villa & Sergio Renda,Mare di dicembre,11,Unica
1961,Umberto Bindi & Miranda Martino,Non mi dire chi sei,12,Unica
1961,Cocky Mazzetti & Joe Sentieri,Libellule,NF,Unica
1961,Nilla Pizzi & Fausto Cigliano,A.A.A. Adorabile cercasi,NF,Unica
1961,Aura D'Angelo & Silvia Guidi,Notturno senza luna,NF,Unica
1961,Teddy Reno & Nilla Pizzi,Mandolino... mandolino,NF,Unica
1961,Wilma De Angelis & Betty Curtis,Patatina,NF,Unica
1961,Arturo Testa & Jolanda Rossin,Princess,NF,Unica
1961,Luciano Tajoli & Little Tony,Pozzanghere,NF,Unica
1961,Giorgio Consolini & Gianni Meccia,Solo nel mondo,NF,Unica
1961,Carla Boni & Aurelio Fierro,Tu con me,NF,Unica
1961,Achille Togliani & Cocky Mazzetti,Qualcuno mi ama,NF,Unica
1961,Jula De Palma & Jimmy Fontana,Lady Luna,NF,Unica
1961,Nadia Liani & Rocco Granata,Che freddo!,NF,Unica
1962,Domenico Modugno & Claudio Villa,Addio... addio,1,Unica
1962,Milva & Sergio Bruni,Tango italiano,2,Unica
1962,Sergio Bruni & Ernesto Bonino,Gondolì gondolà,3,Unica
1962,Tony Renis & Emilio Pericoli,Quando quando quando,4,Unica
1962,Milva & Miriam Del Mare,Stanotte al luna park,5,Unica
1962,Arturo Testa & Jolanda Rossin,I colori della felicità,6,Unica
1962,Joe Sentieri & Aurelio Fierro,Cipria di sole,7,Unica
1962,Johnny Dorelli & Betty Curtis,Buongiorno amore,8,Unica
1962,Arturo Testa & Flo Sandon's,Passa il tempo,9,Unica
1962,Gino Bramieri & Aurelio Fierro,Lui andava a cavallo,10,Unica
1962,Betty Curtis & Luciano Tajoli,Il cielo cammina,11,Unica
1962,Wilma De Angelis & Lucia Altieri,Lumicini rossi,12,Unica
1962,Sergio Endrigo & Ivana Spagna (Errore: Ivana Borgia),Tango del mare,NF,Unica
1962,Claudio Villa & Ginny Arnell,Quando il vento d'aprile,NF,Unica
1962,Nelly Fioramonti & Claudio Villa,Aspettandoti,NF,Unica
1962,Cocky Mazzetti & Pierfilippi,Occhi senza lacrime,NF,Unica
1962,Fausto Cigliano & Jenny Luna,Cose inutili,NF,Unica
1962,Rocco Granata & Johnny Dorelli,L'ombrellone,NF,Unica
1962,Gloria Christian & Fabrizio Ferretti,Innamorati,NF,Unica
1962,Wanda Romanelli & Ernesto Bonino,Fiori sull'acqua,NF,Unica
1962,Mario D'Alba & Silvia Guidi,Conta le stelle,NF,Unica
1962,Giorgio Consolini & Narciso Parigi,Vita,NF,Unica
1962,Corrado Lojacono & Luciano Tajoli,L'anellino,NF,Unica
1962,Rossana & Edda Montanari,Prima del perdono,NF,Unica
1962,Giacomo Rondinella & Gesy Sebena,Il nostro amore,NF,Unica
1962,Gene Colonnello & Gloria Christian,Due cipressi,NF,Unica
1962,Tony Renis & Emilio Pericoli,Quando quando quando,F,Unica
1962,Rocco Montana & Rossana,Vestita di rosso,NF,Unica
1962,Gian Costello & Aurelio Fierro,Centomila volte,NF,Unica
1962,Nunzio Gallo & Rocco Montana,L'ultimo pezzo di terra,NF,Unica
1962,Myriam Del Mare & Gene Colonnello,Pesca tu che pesco io,NF,Unica
1963,Tony Renis & Emilio Pericoli,Uno per tutte,1,Unica
1963,Claudio Villa & Eugenia Foligatti,Amor mon amour my love,2,Unica
1963,Pino Donaggio & Cocky Mazzetti,Giovane giovane,3,Unica
1963,Wilma De Angelis & Flo Sandon's,Non costa niente,4,Unica
1963,Milva & Gianni Lacommare,Ricorda,5,Unica
1963,Tonina Torrielli & Eugenia Foligatti,Perdonarsi in due,6,Unica
1963,Claudio Villa & Maria Paris,Occhi neri e cielo blu,7,Unica
1963,Aurelio Fierro & Claudio Villa,Jammo ja,8,Unica
1963,Joe Sentieri & Pino Donaggio,Tu venisti dal mare,9,Unica
1963,Johnny Dorelli & Quartetto Radar,Non sapevo,10,Unica
1963,Arturo Testa & Joe Sentieri,Quando ci si vuol bene (come noi),F,Unica
1963,Luciano Tajoli & Ennio Sangiusto,Le voci,NF,Unica
1963,Sergio Bruni & Mario Abbate,Un cappotto rivoltato,NF,Unica
1963,Milva & Carmelina,Non sapevo,NF,Unica
1963,Aurelio Fierro & Sergio Bruni,Oggi non ho tempo,NF,Unica
1963,Tonina Torrielli & Elsa Vazzoler,Com'è piccolo il cielo,NF,Unica
1963,Cocky Mazzetti & Quartetto Radar,La ballata del pedone,NF,Unica
1963,Gian Costello & Ennio Sangiusto,Sull'acqua,NF,Unica
1963,Mario Abbate & Quartetto Radar,Vorrei fermare il tempo,NF,Unica
1963,Carmen Villani & Arturo Testa,Io che non piango mai,NF,Unica
1963,Eugenia Foligatti & Gianni Lacommare,Fermate il mondo,NF,Unica
1964,Gigliola Cinquetti & Patricia Carli,Non ho l'età (Per amarti),1,Unica
1964,Claudio Villa & Domenico Modugno,Che me ne importa a me,2,Unica
1964,Roby Ferrante & Piero Focaccia,Ogni volta,2,Unica
1964,Gino Paoli & Antonio Prieto,Ieri ho incontrato mia madre,F,Unica
1964,Little Tony & Gene Pitney,Quando vedrai la mia ragazza,F,Unica
1964,Pino Donaggio & Frankie Avalon,Motivo d'amore,F,Unica
1964,Remo Germani & Nino Tempo e April Stevens,Stasera no no no,F,Unica
1964,Milva & Frida Boccara,L'ultimo tram,F,Unica
1964,Fabrizio Ferretti & Gil Fields e The Fraternity Brothers,La prima che incontro,F,Unica
1964,Bruno Filippini & The Fraternity Brothers,Sabato sera,F,Unica
1964,Giorgio Gaber & Patricia Carli,Così felice,F,Unica
1964,Bobby Solo & Frankie Laine,Una lacrima sul viso,F,Unica
1964,Tony Renis & Frankie Avalon,I sorrisi di sera,NF,Unica
1964,Fausto Cigliano & Gene Pitney,E se domani,NF,Unica
1964,Ben E. King & Tony Dallara,Come potrei dimenticarti,NF,Unica
1964,Paul Anka & Roby Ferrante,Ogni volta,NF,Unica
